Configuracion,Ciclo,Tiempo Total (s),Tokens Entrada,Tokens Salida,Temperature,Top_P,Repeat_Penalty
Config_1_Determinista,76,7.258923292160034,55,60,0.0,0.5,1.0
Config_1_Determinista,77,7.288763046264648,55,60,0.0,0.5,1.0
Config_1_Determinista,78,6.953038930892944,55,60,0.0,0.5,1.0
Config_1_Determinista,79,6.970816135406494,55,60,0.0,0.5,1.0
Config_1_Determinista,80,7.25437068939209,55,60,0.0,0.5,1.0
Config_1_Determinista,81,7.077813625335693,55,60,0.0,0.5,1.0
Config_1_Determinista,82,7.168683290481567,55,60,0.0,0.5,1.0
Config_1_Determinista,83,7.385707378387451,55,60,0.0,0.5,1.0
Config_1_Determinista,84,6.880432605743408,55,60,0.0,0.5,1.0
Config_1_Determinista,85,7.047184705734253,55,60,0.0,0.5,1.0
Config_1_Determinista,86,6.9632627964019775,55,60,0.0,0.5,1.0
Config_1_Determinista,87,6.794325113296509,55,60,0.0,0.5,1.0
Config_1_Determinista,88,7.286929368972778,55,60,0.0,0.5,1.0
Config_1_Determinista,89,7.001857280731201,55,60,0.0,0.5,1.0
Config_1_Determinista,90,7.349039077758789,55,60,0.0,0.5,1.0
Config_1_Determinista,91,7.045989036560059,55,60,0.0,0.5,1.0
Config_1_Determinista,92,6.874702453613281,55,60,0.0,0.5,1.0
Config_1_Determinista,93,7.354916095733643,55,60,0.0,0.5,1.0
Config_1_Determinista,94,7.273791790008545,55,60,0.0,0.5,1.0
Config_1_Determinista,95,6.8995983600616455,55,60,0.0,0.5,1.0
Config_1_Determinista,96,6.9756529331207275,55,60,0.0,0.5,1.0
Config_1_Determinista,97,7.311542272567749,55,60,0.0,0.5,1.0
Config_1_Determinista,98,6.842488765716553,55,60,0.0,0.5,1.0
Config_1_Determinista,99,7.041939973831177,55,60,0.0,0.5,1.0
Config_1_Determinista,100,6.86412787437439,55,60,0.0,0.5,1.0
Config_2_Balanceada,1,6.912201166152954,55,60,0.7,0.9,1.2
Config_2_Balanceada,2,7.269700765609741,55,60,0.7,0.9,1.2
Config_2_Balanceada,3,7.046177625656128,55,60,0.7,0.9,1.2
